date,campaign_name,ad_set,platform,objective,impressions,reach,clicks,spend,conversions,revenue
2026-06-01,Yaz Kampanyası - Awareness,18-24 Kadın,Meta,Awareness,61986,26607,1062,2705.87,5,1522.12
2026-06-01,Yaz Kampanyası - Awareness,25-34 Kadın,Meta,Awareness,55437,22018,967,2129.74,15,5658.34
2026-06-01,Yaz Kampanyası - Awareness,25-34 Erkek,Meta,Awareness,47170,16304,494,2173.08,3,949.32
2026-06-01,Yaz Kampanyası - Awareness,35-44 Genel,Meta,Awareness,54607,21108,706,2244.19,9,3101.32
2026-06-01,Yaz Kampanyası - Awareness,18-24 Kadın,Google,Awareness,41453,26853,492,1061.31,5,1825.39
2026-06-01,Yaz Kampanyası - Awareness,25-34 Kadın,Google,Awareness,50154,32674,578,1197.89,11,4284.65
2026-06-01,Yaz Kampanyası - Awareness,25-34 Erkek,Google,Awareness,33732,23016,206,1120.91,1,369.01
2026-06-01,Yaz Kampanyası - Awareness,35-44 Genel,Google,Awareness,33217,20289,321,926.66,5,1789.13
2026-06-01,Yaz Kampanyası - Awareness,18-24 Kadın,TikTok,Awareness,111932,58516,2569,2260.96,10,3388.12
2026-06-01,Yaz Kampanyası - Awareness,25-34 Kadın,TikTok,Awareness,89165,50131,2137,2049.89,16,6142.24
2026-06-01,Yaz Kampanyası - Awareness,25-34 Erkek,TikTok,Awareness,64642,35200,927,1642.36,4,1511.07
2026-06-01,Yaz Kampanyası - Awareness,35-44 Genel,TikTok,Awareness,81922,45206,1756,1687.45,9,2793.01
2026-06-02,Yaz Kampanyası - Awareness,18-24 Kadın,Meta,Awareness,53202,19493,836,2269.33,6,2133.29
2026-06-02,Yaz Kampanyası - Awareness,25-34 Kadın,Meta,Awareness,58698,23296,1097,2302.13,13,4376.31
2026-06-02,Yaz Kampanyası - Awareness,25-34 Erkek,Meta,Awareness,40084,14701,365,2022.76,2,731.26
2026-06-02,Yaz Kampanyası - Awareness,35-44 Genel,Meta,Awareness,53344,20720,664,2333.72,4,1197.4
2026-06-02,Yaz Kampanyası - Awareness,18-24 Kadın,Google,Awareness,36763,25522,428,825.82,4,1581.89
2026-06-02,Yaz Kampanyası - Awareness,25-34 Kadın,Google,Awareness,38194,22231,410,972.64,5,1690.67
2026-06-02,Yaz Kampanyası - Awareness,25-34 Erkek,Google,Awareness,37648,28443,280,1202.54,2,598.78
2026-06-02,Yaz Kampanyası - Awareness,35-44 Genel,Google,Awareness,36412,24029,357,996.22,6,2049.74
2026-06-02,Yaz Kampanyası - Awareness,18-24 Kadın,TikTok,Awareness,90788,46941,2063,1959.43,14,5074.87
2026-06-02,Yaz Kampanyası - Awareness,25-34 Kadın,TikTok,Awareness,111093,66358,2510,2015.99,21,6338.14
2026-06-02,Yaz Kampanyası - Awareness,25-34 Erkek,TikTok,Awareness,87173,46923,951,1879.68,4,1517.34
2026-06-02,Yaz Kampanyası - Awareness,35-44 Genel,TikTok,Awareness,105986,43195,2138,2005.46,9,3234.33
2026-06-03,Yaz Kampanyası - Awareness,18-24 Kadın,Meta,Awareness,53966,21655,754,2122.93,7,2488.48
2026-06-03,Yaz Kampanyası - Awareness,25-34 Kadın,Meta,Awareness,53560,22979,701,2140.12,9,3706.9
2026-06-03,Yaz Kampanyası - Awareness,25-34 Erkek,Meta,Awareness,47531,16645,430,2111.7,2,649.23
2026-06-03,Yaz Kampanyası - Awareness,35-44 Genel,Meta,Awareness,62017,25987,928,2488.0,11,3998.21
2026-06-03,Yaz Kampanyası - Awareness,18-24 Kadın,Google,Awareness,42878,26908,425,1106.33,4,1228.42
2026-06-03,Yaz Kampanyası - Awareness,25-34 Kadın,Google,Awareness,33781,20754,522,892.36,8,2880.03
2026-06-03,Yaz Kampanyası - Awareness,25-34 Erkek,Google,Awareness,39559,24193,259,1370.78,2,807.5
2026-06-03,Yaz Kampanyası - Awareness,35-44 Genel,Google,Awareness,36893,26275,278,1173.46,5,1718.58
2026-06-03,Yaz Kampanyası - Awareness,18-24 Kadın,TikTok,Awareness,98740,45341,1811,1708.2,12,4034.27
2026-06-03,Yaz Kampanyası - Awareness,25-34 Kadın,TikTok,Awareness,94441,50531,2480,2154.67,23,8568.37
2026-06-03,Yaz Kampanyası - Awareness,25-34 Erkek,TikTok,Awareness,61072,32300,746,1287.08,2,676.61
2026-06-03,Yaz Kampanyası - Awareness,35-44 Genel,TikTok,Awareness,94897,57583,1811,1896.35,12,4621.16
2026-06-04,Yaz Kampanyası - Awareness,18-24 Kadın,Meta,Awareness,63661,21596,957,2363.3,7,2509.41
2026-06-04,Yaz Kampanyası - Awareness,25-34 Kadın,Meta,Awareness,55756,24052,988,2395.2,20,8313.79
2026-06-04,Yaz Kampanyası - Awareness,25-34 Erkek,Meta,Awareness,42008,16634,321,1992.14,2,784.41
2026-06-04,Yaz Kampanyası - Awareness,35-44 Genel,Meta,Awareness,45077,18550,406,1955.56,3,994.41
2026-06-04,Yaz Kampanyası - Awareness,18-24 Kadın,Google,Awareness,39101,24670,316,824.11,4,1219.76
2026-06-04,Yaz Kampanyası - Awareness,25-34 Kadın,Google,Awareness,34648,18294,621,795.31,10,3619.54
2026-06-04,Yaz Kampanyası - Awareness,25-34 Erkek,Google,Awareness,41294,28634,278,1388.52,2,673.67
2026-06-04,Yaz Kampanyası - Awareness,35-44 Genel,Google,Awareness,35520,25738,325,943.86,4,1322.25
2026-06-04,Yaz Kampanyası - Awareness,18-24 Kadın,TikTok,Awareness,109356,52263,2461,2150.85,14,4900.04
2026-06-04,Yaz Kampanyası - Awareness,25-34 Kadın,TikTok,Awareness,86317,44036,2126,2087.69,26,9451.12
2026-06-04,Yaz Kampanyası - Awareness,25-34 Erkek,TikTok,Awareness,73583,43575,1214,1812.39,6,1733.64
2026-06-04,Yaz Kampanyası - Awareness,35-44 Genel,TikTok,Awareness,95015,47834,1504,1901.23,11,3870.2
2026-06-05,Yaz Kampanyası - Awareness,18-24 Kadın,Meta,Awareness,57703,22425,855,2337.47,9,2341.5
2026-06-05,Yaz Kampanyası - Awareness,25-34 Kadın,Meta,Awareness,53048,20049,969,2145.15,8,2891.84
2026-06-05,Yaz Kampanyası - Awareness,25-34 Erkek,Meta,Awareness,56500,25667,625,2754.05,4,1252.59
